RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,6540.0,7551.0,9231.0,8893.0,9958.0,9135.0,9042.0,9264.0,7424.0,7702.0,6797.0,5214.0,6176.0,7140.0,8916.0,9358.0,10117.0,9200.0,9726.0,9623.0,8388.0,8680.0,7282.0,5757.0,6622.0,7675.0,7035.0,4232.0,6732.0,9084.0,9837.0,9835.0
394463,3,"Chicago, IL",Msa,IL,8125.0,9549.0,13778.0,14843.0,14451.0,13261.0,12555.0,11794.0,9503.0,9727.0,7800.0,6032.0,7996.0,9485.0,13441.0,14861.0,14609.0,13482.0,12636.0,11572.0,10374.0,9936.0,8140.0,6557.0,9063.0,11426.0,12312.0,8257.0,12856.0,16910.0,16907.0,16458.0
394514,4,"Dallas-Fort Worth, TX",Msa,TX,5950.0,6265.0,7389.0,8700.0,8789.0,8372.0,8575.0,7987.0,7003.0,6517.0,5938.0,5105.0,5495.0,6587.0,7966.0,8816.0,8811.0,8614.0,8903.0,8123.0,7372.0,7064.0,6439.0,5793.0,6195.0,7464.0,8416.0,5962.0,9103.0,10755.0,10710.0,10318.0
394692,6,"Houston, TX",Msa,TX,5972.0,6621.0,7990.0,8892.0,9093.0,8680.0,8565.0,8213.0,6247.0,6741.0,5869.0,4736.0,6269.0,7049.0,8209.0,9179.0,9118.0,8859.0,8864.0,8139.0,6972.0,6995.0,6244.0,5176.0,6646.0,7720.0,7731.0,6176.0,9567.0,10844.0,10345.0,9883.0
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,5191.0,5250.0,6104.0,6315.0,6070.0,5412.0,5209.0,5283.0,4601.0,4968.0,4149.0,3508.0,4778.0,5871.0,7032.0,7204.0,6747.0,6213.0,6321.0,5936.0,5412.0,6016.0,5133.0,4473.0,5962.0,6894.0,5913.0,3075.0,5437.0,7315.0,7439.0,7266.0
394347,9,"Atlanta, GA",Msa,GA,7929.0,8479.0,10431.0,11391.0,11107.0,10532.0,10572.0,10391.0,8370.0,8975.0,7138.0,5773.0,8224.0,8854.0,11172.0,11796.0,11994.0,11265.0,10986.0,10278.0,9453.0,9589.0,8180.0,6712.0,9131.0,9350.0,10153.0,7877.0,11024.0,12293.0,12107.0,12303.0
394404,10,"Boston, MA",Msa,MA,2263.0,2757.0,3930.0,4898.0,5806.0,5552.0,4395.0,3849.0,3548.0,3914.0,2819.0,1947.0,2589.0,2758.0,4065.0,5099.0,5366.0,5115.0,4186.0,3816.0,4024.0,4125.0,3162.0,1937.0,2433.0,3189.0,3826.0,2291.0,3886.0,5280.0,4672.0,4478.0
395025,13,"Riverside, CA",Msa,CA,4147.0,4567.0,5493.0,5222.0,5790.0,5250.0,5228.0,5331.0,4741.0,4462.0,3939.0,3155.0,4116.0,4266.0,5453.0,5727.0,6374.0,6006.0,6103.0,6060.0,5326.0,5587.0,4636.0,3922.0,5052.0,5790.0,5133.0,3668.0,5723.0,6868.0,6747.0,6419.0
394976,14,"Phoenix, AZ",Msa,AZ,"","","","","","","","","","",3615.0,3324.0,4565.0,5261.0,6075.0,6726.0,6554.0,5840.0,5855.0,5625.0,5108.0,5219.0,4680.0,4061.0,5313.0,5799.0,5534.0,4492.0,5820.0,6474.0,6032.0,6088.0
394865,16,"Minneapolis-St Paul, MN",Msa,MN,1306.0,1537.0,2008.0,2242.0,2678.0,2533.0,2518.0,2481.0,2165.0,2226.0,1820.0,1312.0,1456.0,1994.0,2494.0,3270.0,3792.0,3826.0,3735.0,3637.0,3137.0,3122.0,2462.0,2005.0,1983.0,2471.0,3357.0,2819.0,3356.0,4169.0,4183.0,4466.0
395056,17,"San Diego, CA",Msa,CA,"","","","","","","",1311.0,1057.0,1061.0,873.0,824.0,806.0,906.0,1256.0,1350.0,1378.0,1336.0,1481.0,1344.0,1119.0,1199.0,898.0,702.0,886.0,1047.0,933.0,1591.0,3208.0,3856.0,4157.0,4087.0
395121,18,"St. Louis, MO",Msa,MO,2745.0,3022.0,4033.0,4538.0,4453.0,4218.0,4228.0,4082.0,3262.0,3483.0,2845.0,2284.0,3057.0,3050.0,4200.0,4530.0,4479.0,4352.0,4269.0,3884.0,3598.0,3493.0,2898.0,2339.0,2997.0,3303.0,3911.0,3257.0,4428.0,4811.0,4749.0,4797.0
394358,20,"Baltimore, MD",Msa,MD,"","","","","","","",2538.0,1782.0,2001.0,1640.0,1291.0,1597.0,1726.0,2354.0,2659.0,2624.0,2403.0,2354.0,2210.0,2079.0,2116.0,1764.0,1400.0,1757.0,2019.0,2312.0,1722.0,2376.0,2687.0,2598.0,2323.0
394530,21,"Denver, CO",Msa,CO,3676.0,3945.0,4721.0,5691.0,5595.0,5725.0,5484.0,5189.0,4241.0,4433.0,3727.0,2986.0,3806.0,4254.0,5256.0,5992.0,6423.0,6136.0,5802.0,5598.0,5101.0,4843.0,4077.0,2995.0,3799.0,4060.0,4876.0,3011.0,6376.0,7089.0,6588.0,6977.0
394998,23,"Portland, OR",Msa,OR,2817.0,2843.0,3357.0,3777.0,4117.0,4006.0,4046.0,3790.0,3180.0,3310.0,2548.0,1970.0,2430.0,2589.0,3298.0,3784.0,3994.0,3834.0,3939.0,3685.0,3315.0,3180.0,2672.0,1925.0,2625.0,2873.0,3237.0,2494.0,3853.0,4323.0,4477.0,4611.0
394458,24,"Charlotte, NC",Msa,NC,2285.0,2733.0,3320.0,3926.0,4057.0,4021.0,3943.0,3751.0,2657.0,2954.0,2569.0,1921.0,2715.0,3051.0,3812.0,4101.0,4296.0,4119.0,3588.0,3373.0,2998.0,2940.0,2350.0,1808.0,2568.0,2671.0,2911.0,2229.0,3547.0,3453.0,3143.0,3256.0
395045,25,"Sacramento, CA",Msa,CA,2229.0,2420.0,3100.0,3357.0,3643.0,3414.0,3341.0,3372.0,2643.0,2888.0,2406.0,1840.0,2244.0,2486.0,3008.0,3411.0,3697.0,3466.0,3503.0,3350.0,2976.0,2874.0,2406.0,1897.0,2319.0,2621.0,2562.0,2020.0,3143.0,3952.0,3990.0,3907.0
395055,26,"San Antonio, TX",Msa,TX,"","","","","","","","","","","","","","",1896.0,2215.0,2347.0,2150.0,2025.0,1967.0,2032.0,1883.0,1691.0,1596.0,1729.0,1956.0,2357.0,1793.0,2576.0,3059.0,3020.0,2818.0
