RegionID,SizeRank,RegionName,RegionType,StateName,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31
394357,63,"Bakersfield, CA",Msa,CA,265000.0,259900.0,259000.0,257500.0,269000.0,276550.0,277777.0,279900.0,279900.0,275000.0,269900.0,264950.0,260000.0,259500.0,257500.0,254900.0,255000.0,263500.0,275000.0,275000.0,274950.0,277900.0,270000.0,268000.0,264900.0,264900.0,264900.0,269000.0,270000.0,279500.0,275000.0,275000.0,279500.0,289500.0,299000.0
394753,64,"Knoxville, TN",Msa,TN,264900.0,264900.0,259900.0,259900.0,264900.0,274900.0,288955.0,290000.0,289900.0,279900.0,269900.0,269000.0,264900.0,259900.0,262500.0,257000.0,259880.0,272500.0,282000.0,289900.0,294900.0,299900.0,294900.0,289900.0,279900.0,269900.0,269900.0,269000.0,275000.0,289900.0,289900.0,299900.0,315000.0,327900.0,324900.0
394653,65,"Greenville, SC",Msa,SC,275000.0,271959.0,269900.0,269900.0,277460.0,283500.0,289000.0,290000.0,292900.0,289900.0,289000.0,277900.0,274900.0,274900.0,270000.0,270000.0,278000.0,286000.0,295000.0,299000.0,289900.0,282900.0,279900.0,277000.0,279000.0,277220.0,274900.0,275000.0,285425.0,287400.0,284900.0,295000.0,301325.0,299900.0,299999.0
394952,66,"Ventura, CA",Msa,CA,795000.0,777000.0,789000.0,774973.0,778000.0,779000.0,799000.0,760000.0,759000.0,750000.0,734999.0,699950.0,699900.0,689900.0,679900.0,692000.0,699000.0,705000.0,729000.0,739000.0,749900.0,760000.0,775000.0,788000.0,789000.0,775000.0,779000.0,795000.0,814999.0,830000.0,784900.0,799000.0,845500.0,859900.0,875000.0
394318,67,"Allentown, PA",Msa,PA,225000.0,224000.0,220000.0,214900.0,219900.0,229900.0,235000.0,239900.0,240000.0,239900.0,234900.0,229900.0,229000.0,225000.0,224900.0,219900.0,229000.0,238000.0,242250.0,249000.0,250000.0,253000.0,249000.0,245000.0,240000.0,239900.0,239900.0,239900.0,249900.0,267490.0,260000.0,267490.0,269900.0,279900.0,284500.0
394561,68,"El Paso, TX",Msa,TX,168950.0,168950.0,168950.0,168000.0,169500.0,169500.0,169950.0,170950.0,174500.0,175950.0,177500.0,176000.0,176500.0,177950.0,179999.0,184000.0,186214.0,187400.0,189950.0,192000.0,191950.0,189950.0,189900.0,189999.0,190000.0,193950.0,189950.0,190000.0,189950.0,189900.0,187950.0,190760.0,193950.0,197950.0,198450.0
394367,69,"Baton Rouge, LA",Msa,LA,234900.0,233000.0,230000.0,230000.0,234900.0,239000.0,244900.0,249900.0,249900.0,245000.0,242000.0,243000.0,239900.0,240000.0,239900.0,240000.0,244000.0,247000.0,253900.0,259000.0,255000.0,250000.0,247900.0,244900.0,243500.0,242000.0,240000.0,239900.0,244785.0,249900.0,249000.0,250000.0,259900.0,262600.0,267000.0
394521,70,"Dayton, OH",Msa,OH,139900.0,132900.0,124900.0,125000.0,128750.0,135000.0,139000.0,142950.0,149900.0,154900.0,149900.0,143500.0,144900.0,141000.0,139900.0,143500.0,144865.0,151900.0,159900.0,164900.0,170990.0,184400.0,179900.0,169900.0,166900.0,166900.0,160000.0,160000.0,174500.0,194000.0,194900.0,200990.0,208990.0,199900.0,195900.0
394843,71,"McAllen, TX",Msa,TX,195000.0,195000.0,190000.0,192000.0,189900.0,189900.0,195000.0,194900.0,195000.0,195000.0,196900.0,199000.0,192000.0,190000.0,189900.0,190000.0,198000.0,199500.0,205000.0,207500.0,209900.0,205000.0,200000.0,199900.0,200000.0,200000.0,199900.0,199000.0,199000.0,199000.0,199000.0,209000.0,216000.0,220000.0,220000.0
394486,72,"Columbia, SC",Msa,SC,208000.0,202500.0,199900.0,199500.0,200000.0,210500.0,220830.0,229900.0,233787.0,229900.0,225000.0,225500.0,224900.0,234900.0,234900.0,235000.0,235000.0,239900.0,248000.0,248500.0,248900.0,239500.0,234998.0,234900.0,229875.0,226000.0,227385.0,229900.0,236500.0,240990.0,244307.0,249000.0,249900.0,253960.0,256850.0
